lingue, 1
traduzione specialistica e interpretazione, 3
filosofia, 4
tradauzione specialistica e interpretazione, 1
arte, 1
dottorato in linguistica, 1
psicologia dei gruppi, 1
storia e società, 2
lettere, 5
lettere moderne, 2
filologia moderna classica e comparata, 1
magistrale in intepretazione, 1
comunicazione interlinguistica applicata, 1
culture moderne comparate, 1
servizio sociale, 2
master erasmus mundus crossways in cultural narratives, 1
scienze filosofiche, 1
traduzione tecnico-scientifica e interpretariato, 1
scienze della musica e dello spettacolo, 1
lettere classiche, 1
filosofia e comunicazione, 1
filologia letteratura e tradizione classica, 1
storia dal medioevo all'età contemporanea, 1
filologia moderna, 1
studi letterari e culturali, 1
tradizione e interpretazione dei testi letterari, 1
traduzione specialistica, 1
lingue e letterature europee ed extraeuropee, 1
ls in traduzione specialistica e interpretazione, 1
lingue e letterature straniere, 1
lingue straniere per la comunicazione internazionale, 1
studi filosofici e storici, 2
filosofia e storia delle scienze naturali, 1
lingue culture e turismo, 1
lettere e filosofia patrimonio storico culturale, 1
